UAI;Nom;Type;Statut public/privé;Adresse;CP;Commune;Académie;Département;Région;Téléphone;Téléphone normalisé;Mail ce.;Site web;SIREN;SIRET;Latitude;Longitude;Campus rattaché;Distance campus km;Source;Date extraction;Nature source;Code nature source;Type source;État source
0750689S;Lycée Paul Bert;Lycée;Public;7 rue Huyghens;75014;Paris;Paris;Paris;Ile-de-France;01 43 20 32 64;+33143203264;ce.0750689S@ac-paris.fr;https://clg-paul-bert.ac-paris.fr;197506892;19750689200011;48.84088231184501;2.328867020425414;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0753842U;Lycée privé Notre-Dame de Sion;Lycée;Privé;61 rue Notre-Dame des Champs;75006;Paris;Paris;Paris;Ile-de-France;01 44 32 06 70;+33144320670;ndsion@sion-paris.fr;http://www.sion-paris.fr;775664006;77566400600035;48.84373834521648;2.3310526394543585;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0753268V;Lycée polyvalent Jean Lurçat - Site Patay;Lycée;Public;121 rue de Patay;75013;Paris;Paris;Paris;Ile-de-France;01 44 06 77 50;+33144067750;ce.0753268V@ac-paris.fr;http://www.lycee-jean-lurcat.net;197532682;19753268200014;48.83420799456895;2.353337607800063;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0754015G;L'école Jules Richard;Lycée;Privé;21 rue Carducci;75019;Paris;Paris;Paris;Ile-de-France;01 53 72 83 60;+33153728360;secretariat@lyceejulesrichard.fr;https://ecolejulesrichard.fr/;784778532;78477853200019;48.87747442064632;2.3856901542627416;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750802P;LP du bâtiment Hector Guimard;Lycée;Public;19 rue Curial;75019;Paris;Paris;Paris;Ile-de-France;01 40 37 74 47;+33140377447;ce.0750802P@ac-paris.fr;https://lyc-hectorguimard.ac-paris.fr;197508021;19750802100015;48.89267490133086;2.3726972336203542;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0750708M;Lycée polyvalent Jean Drouant;Lycée;Public;20 rue Médéric;75017;Paris;Paris;Paris;Ile-de-France;01 56 21 01 01;+33156210101;ce.0750708M@ac-paris.fr;http://www.lyceejeandrouant.fr;197507080;19750708000012;48.880752743914954;2.3037489856625255;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0752608C;Campus de la gastronomie durable Belliard - CFA académique de Paris;Lycée;Public;135 rue Belliard;75018;Paris;Paris;Paris;Ile-de-France;01 40 25 93 93;+33140259393;ce.0752608c@ac-paris.fr;https://lyc-belliard.ac-paris.fr;197526080;19752608000019;48.89620625975474;2.334493591082029;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0751710B;Lycée des métiers Nicolas-Louis Vauquelin;Lycée;Public;13-21 avenue Boutroux;75013;Paris;Paris;Paris;Ile-de-France;01 40 77 00 60;+33140770060;ce.0751710b@ac-paris.fr;http://lyc-vauquelin.ac-paris.fr;197517105;19751710500015;48.82225795700617;2.3761827170945153;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0750463W;Lycée polyvalent Lucas de Nehou;Lycée;Public;4 rue des Feuillantines;75005;Paris;Paris;Paris;Ile-de-France;01 56 81 25 90;+33156812590;ce.0750463w@ac-paris.fr;http://lyc-lucas-de-nehou.ac-paris.fr;197504632;19750463200013;48.841496988667906;2.3430363196319313;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0754029X;Lycée polyvalent privé Carcado Saisseval;Lycée;Privé;121 boulevard Raspail - CS 10622;75006;Paris;Paris;Paris;Ile-de-France;01 45 48 43 46;+33145484346;contact@carcado-saisseval.com;http://www.carcado-saisseval.com;784281008;78428100800010;48.84534298167878;2.328835466682555;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750788Z;LP Marcel Deprez;Lycée;Public;39 rue de la Roquette;75011;Paris;Paris;Paris;Ile-de-France;01 56 98 47 00;+33156984700;ce.0750788Z@ac-paris.fr;http://lyc-marcel-deprez.ac-paris.fr;197507882;19750788200011;48.85523125977415;2.3735896106155514;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0750691U;Lycée polyvalent Raspail;Lycée;Public;5 bis avenue Maurice d'Ocagne;75014;Paris;Paris;Paris;Ile-de-France;01 40 52 73 00;+33140527300;ce.0750691U@ac-paris.fr;http://www.ldmraspail.fr/;197506918;19750691800048;48.82469130457495;2.3126280641811805;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750705J;Lycée international de Paris Honoré de Balzac;Lycée;Public;118 boulevard Bessières;75017;Paris;Paris;Paris;Ile-de-France;01 53 11 12 13;+33153111213;ce.0750705J@ac-paris.fr;https://lyc-balzac.ac-paris.fr;197507056;19750705600012;48.8955306966347;2.3154764283937124;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750711R;Lycée Henri Bergson (enseignement secondaire);Lycée;Public;27 rue Édouard Pailleron;75019;Paris;Paris;Paris;Ile-de-France;01 42 02 06 36;+33142020636;ce.0750711R@ac-paris.fr;http://lyc-henri-bergson.ac-paris.fr;197507114;19750711400019;48.88112074883683;2.377938887612686;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0754924V;Lycée privé Saint-Vincent-de-Paul;Lycée;Privé;49 rue Bobillot;75013;Paris;Paris;Paris;Ile-de-France;01 45 80 77 90;+33145807790;contact@gs-svp.com;http://www.gs-svp.com;784544462;78454446200038;48.828116105925915;2.3529227848573493;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750428H;Lycée polyvalent Jacques MONOD;Lycée;Public;12 rue Victor Cousin, 75005 PARIS;75005;Paris  5e  Arrondissement;Paris;Paris;Ile-de-France;0143546162;+33143546162;ce.0750428H@ac-paris.fr;;197504285;19750428500010;48.84761162950153;2.3421961245879994;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0754242D;Ecole privée Marbeuf Esthétique Elysées;Lycée;Privé;64 rue de la Boétie, 75008 PARIS;75008;Paris  8e  Arrondissement;Paris;Paris;Ile-de-France;0153238700;+33153238700;info@elysees-marbeuf.fr;;805332855;80533285500024;48.873323235171725;2.311980832893521;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0754338H;Ecole Terrade Paris Opéra;Lycée;Privé;9 rue Volney, 75002 PARIS;75002;Paris  2e  Arrondissement;Paris;Paris;Ile-de-France;0142610125;+33142610125;laurence.letrou@catherine-sertin.com;;522659804;52265980400036;48.8697164102493;2.330132817493202;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0755748R;Institut Supérieur des Ressources Informatiques;Lycée;Privé;6-8 impasse des deux Cousins, 75017 PARIS;75017;Paris 17e  Arrondissement;Paris;Paris;Ile-de-France;0144018670;+33144018670;contact@ecoleiris.fr;;328007786;32800778600077;48.88489364035247;2.293371928557532;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0758513W;Lycée étranger privé Léonard de Vinci;Lycée;Privé;12 rue Sedillot, 75007 PARIS;75007;Paris  7e  Arrondissement;Paris;Paris;Ile-de-France;0145558622;+33145558622;ce.0758513W@ac-paris.fr;;;;48.858714658392635;2.3016514399239103;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0754086J;Lycée privé Charles de Foucauld;Lycée;Privé;5 rue de la Madone;75018;Paris;Paris;Paris;Ile-de-France;01 46 07 72 59;+33146077259;administratif@lamadone.fr;http://www.lamadone.fr;338756893;33875689300016;48.89260687899484;2.361191067765284;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750698B;Lycée Claude Bernard;Lycée;Public;1 avenue du Parc des Princes;75016;Paris;Paris;Paris;Ile-de-France;01 46 51 16 63;+33146511663;ce.0750698b@ac-paris.fr;https://pia.ac-paris.fr/serail/jcms/s2_1659532/fr/cite-scolaire-claude-bernard;197506983;19750698300018;48.8419754563088;2.254942359765863;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0751708Z;Lycée polyvalent Louis Armand;Lycée;Public;321 rue Lecourbe;75015;Paris;Paris;Paris;Ile-de-France;01 45 57 51 50;+33145575150;secretariat.louisarmand@gmail.com;http://lyc-louis-armand.ac-paris.fr;197517089;19751708900011;48.8372023151473;2.2852784745012107;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750675B;Lycée Voltaire;Lycée;Public;101 avenue de la République;75011;Paris;Paris;Paris;Ile-de-France;01 55 28 08 08;+33155280808;ce.0750675b@ac-paris.fr;https://lyc-voltaire.ac-paris.fr;197506751;19750675100019;48.86352601850053;2.384525602087465;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0753217P;Lycée polyvalent privé Sainte-Thérèse;Lycée;Privé;40 rue Jean de La Fontaine;75016;Paris;Paris;Paris;Ile-de-France;01 44 14 73 04;+33144147304;contact.sth@apprentis-auteuil.org;https://sainte-therese.apprentis-auteuil.org/;775688799;77568879900615;48.85109598228065;2.2720404805383816;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0753815P;Lycée privé des Petits Champs;Lycée;Privé;28 rue du Plateau;75019;Paris;Paris;Paris;Ile-de-France;01 43 67 59 59;+33143675959;petitschamps@petitschamps.fr;http://www.petitschamps.fr;632029807;63202980700039;48.87822059311112;2.383712469734524;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0753890W;Lycée privé Charles Péguy;Lycée;Privé;80 avenue Parmentier;75011;Paris;Paris;Paris;Ile-de-France;01 48 05 16 47;+33148051647;secretariat.direction@charlespeguyparis.com;https://charlespeguyparis.com/;775680127;77568012700047;48.86435288330863;2.375396492097775;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750775K;LP Gustave Ferrié;Lycée;Public;7 rue des Ecluses Saint-Martin;75010;Paris;Paris;Paris;Ile-de-France;01 42 02 19 55;+33142021955;ce.0750775k@ac-paris.fr;http://lyc-gustave-ferrie.ac-paris.fr;197507759;19750775900011;48.87648795717409;2.367405677134921;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0750553U;LP Gaston Bachelard;Lycée;Public;2 rue Tagore;75013;Paris;Paris;Paris;Ile-de-France;01 45 85 69 29;+33145856929;ce.0750553u@ac-paris.fr;http://lyc-bachelard.ac-paris.fr;197505530;19750553000018;48.82071640750271;2.360347584805297;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0750692V;Lycée Émile Dubois;Lycée;Public;14 rue Émile Dubois;75014;Paris;Paris;Paris;Ile-de-France;01 44 16 85 90;+33144168590;ce.0750692v@ac-paris.fr;http://lyc-emile-dubois.ac-paris.fr;197506926;19750692600017;48.83176633760908;2.3369360393461895;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0754239A;Lycée polyvalent privé Saint-Jean de Montmartre;Lycée;Privé;31 rue Caulaincourt;75018;Paris;Paris;Paris;Ile-de-France;01 46 06 03 08;+33146060308;secretariat@stjeandemontmartre.com;https://stjeandemontmartre.com/;784754210;78475421000028;48.88821536735607;2.333774738186778;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0754045P;Lycée privé polyvalent Catherine Labouré;Lycée;Privé;29 rue Gassendi;75014;Paris;Paris;Paris;Ile-de-France;01 43 22 02 62;+33143220262;catherine.laboure@wanadoo.fr;http://www.saintecatherinelaboure.com/;784573636;78457363600015;48.83401622120104;2.326252530262704;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750680G;Lycée Arago;Lycée;Public;4 place de la Nation;75012;Paris;Paris;Paris;Ile-de-France;01 43 07 37 40;+33143073740;ce.0750680G@ac-paris.fr;http://lyc-arago.ac-paris.fr;197506801;19750680100012;48.847927308794425;2.394315498648954;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0754025T;Lycée polyvalent privé Saint-Nicolas;Lycée;Privé;92 rue de Vaugirard;75006;Paris;Paris;Paris;Ile-de-France;01 42 22 83 60;+33142228360;contact@lyceesaintnicolas.org;https://www.lyceesaintnicolas.com;775664014;77566401400013;48.84600843995472;2.323076479586463;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750787Y;LP des arts graphiques et du livre Corvisart-Tolbiac - site Tolbiac;Lycée;Public;63 rue du Moulinet;75013;Paris;Paris;Paris;Ile-de-France;01 53 62 81 50;+33153628150;ce.0750787Y@ac-paris.fr;http://lyc-corvisart-tolbiac.ac-paris.fr;197507874;19750787400018;48.83037686355069;2.3488965315970085;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
